Title,Date,Valence,Chartpos,
TQG,2023-06-09T10:11:49Z,0.607,14
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),2023-06-09T10:11:49Z,0.22,15
Creepin' (with The Weeknd & 21 Savage),2023-06-09T10:11:49Z,0.172,16
Calm Down (with Selena Gomez),2023-06-09T10:11:49Z,0.811,17
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),2023-06-09T10:11:49Z,0.204,18
See You Again (feat. Kali Uchis),2023-06-09T10:11:49Z,0.62,19
Cruel Summer,2023-06-09T10:11:49Z,0.564,20
BESO,2023-06-09T10:11:49Z,0.53,21
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),2023-06-09T10:11:49Z,0.134,22
Dance The Night (From Barbie The Album),2023-06-09T10:11:49Z,0.775,23
Los del Espacio,2023-06-09T10:11:49Z,0.634,24
Tá OK,2023-06-09T10:11:49Z,0.586,25
Popular (with Playboi Carti & Madonna),2023-06-09T10:11:49Z,0.83,26
Sunflower - Spider-Man: Into the Spider-Verse,2023-06-09T10:11:49Z,0.925,27
Anti-Hero,2023-06-09T10:11:49Z,0.533,28
I Wanna Be Yours,2023-06-09T10:11:49Z,0.479,29
Die For You (with Ariana Grande) - Remix,2023-06-09T10:11:49Z,0.506,30
Angels Like You,2023-06-09T10:11:49Z,0.494,31
El Azul,2023-06-09T10:11:49Z,0.844,32
Yandel 150,2023-06-09T10:11:49Z,0.58,33
Last Night,2023-06-09T10:11:49Z,0.478,34
I'm Good (Blue),2023-06-09T10:11:49Z,0.304,35
All My Life (feat. J. Cole),2023-06-09T10:11:49Z,0.733,36
Die For You,2023-06-09T10:11:49Z,0.508,37
Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long),2023-06-09T10:11:49Z,0.277,38
PRC,2023-06-09T10:11:49Z,0.893,39
Boy's a Liar Pt. 2,2023-06-09T10:11:49Z,0.857,40
Moonlight,2023-06-09T10:11:49Z,0.896,41
People,2023-06-09T10:11:49Z,0.693,42
I Ain't Worried,2023-06-09T10:11:49Z,0.825,43
